127.0.0.1 - - [21/Aug/2020:19:02:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/ HTTP/1.1" 200 32870
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/animate.css HTTP/1.1" 200 77017
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/owl.carousel.min.css HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/owl.theme.default.min.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/magnific-popup.css HTTP/1.1" 200 7300
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/ionicons.min.css HTTP/1.1" 200 46826
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/flaticon.css HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/icomoon.css HTTP/1.1" 200 84794
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/css/style.css HTTP/1.1" 200 275879
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/jquery.min.js HTTP/1.1" 200 278290
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11635
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/popper.min.js HTTP/1.1" 200 19036
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/fonts/icomoon/icomoon.eot?6tt51o HTTP/1.1" 200 307332
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/bootstrap.min.js HTTP/1.1" 200 55781
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/fonts/flaticon/font/Flaticon.eot? HTTP/1.1" 200 7934
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/jquery.easing.1.3.js HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19 HTTP/1.1" 200 112826
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/jquery.waypoints.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/images/about.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/work-1.jpg HTTP/1.1" 200 112021
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/work-2.jpg HTTP/1.1" 200 127384
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/work-3.jpg HTTP/1.1" 200 149921
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/work-4.jpg HTTP/1.1" 200 205585
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/work-6.jpg HTTP/1.1" 200 89788
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/image_1.jpg HTTP/1.1" 200 120448
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/work-5.jpg HTTP/1.1" 200 138409
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/image_2.jpg HTTP/1.1" 200 199950
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/jquery.stellar.min.js HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/jquery.animateNumber.min.js HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/images/image_3.jpg HTTP/1.1" 200 83259
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/owl.carousel.min.js HTTP/1.1" 200 43243
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/google-map.js HTTP/1.1" 200 4868
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/scrollax.min.js HTTP/1.1" 200 7478
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:23 +0900] "GET /myapp/resources/js/main.js HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:24 +0900] "GET /myapp/resources/images/bg_2.jpg HTTP/1.1" 200 460838
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:24 +0900] "GET /myapp/resources/images/bg_1.jpg HTTP/1.1" 200 871640
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:24 +0900] "GET /myapp/resources/images/bg_3.jpg HTTP/1.1" 200 724969
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:24 +0900] "GET /myapp/resources/images/person_1.jpg HTTP/1.1" 200 36090
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:24 +0900] "GET /myapp/resources/images/person_2.jpg HTTP/1.1" 200 47939
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:24 +0900] "GET /myapp/images/person_1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:24 +0900] "GET /myapp/resources/images/person_3.jpg HTTP/1.1" 200 35096
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:28 +0900] "GET /myapp/page2 HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:28 +0900] "GET /myapp/image/01.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:28 +0900] "GET /myapp/image/02.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:28 +0900] "GET /myapp/image/03.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/Aug/2020:19:02:28 +0900] "GET /myapp/image/04.png HTTP/1.1" 404 721
